acc,pctl
82.71,99.38404
82.69,99.38429
82.67,99.38704
82.65,99.38878
82.64,99.38928
82.61,99.39003
82.58,99.39825
82.57,99.39924
82.56,99.39949
82.55,99.40024
82.54,99.40074
82.52,99.40423
82.5,99.40547
82.48,99.41021
82.47,99.41046
82.46,99.41195
82.44,99.41669
82.43,99.41694
82.42,99.41843
82.41,99.41968
82.4,99.42018
82.39,99.42042
82.35,99.42067
82.32,99.43114
82.3,99.43139
82.29,99.43164
82.28,99.43214
82.27,99.43438
82.26,99.43463
82.24,99.43787
82.22,99.43861
82.2,99.44285
82.19,99.44385
82.18,99.44659
82.17,99.44709
82.14,99.44733
82.12,99.45282
82.11,99.45307
82.09,99.45481
82.08,99.4578
82.05,99.45855
82.03,99.46528
82.02,99.46552
82.01,99.46627
82,99.46652
81.97,99.472
81.95,99.474
81.94,99.47474
81.93,99.47748
81.91,99.47873
81.9,99.47973
81.88,99.48247
81.87,99.48272
81.82,99.48297
81.76,99.49866
81.75,99.49916
81.74,99.49966
81.73,99.50041
81.72,99.50165
81.71,99.50315
81.7,99.50464
81.69,99.50489
81.67,99.50714
81.66,99.51112
81.65,99.51162
81.63,99.51237
81.62,99.51511
81.61,99.51536
81.6,99.5166
81.58,99.51685
81.55,99.52209
81.54,99.52358
81.52,99.52682
81.51,99.52757
81.48,99.52807
81.46,99.53479
81.45,99.53504
81.44,99.53604
81.43,99.53654
81.42,99.53754
81.4,99.53853
81.37,99.54277
81.36,99.54376
81.34,99.548
81.33,99.54825
81.32,99.54974
81.29,99.55124
81.28,99.55199
81.25,99.55249
81.22,99.5627
81.21,99.56295
81.19,99.56345
81.18,99.5637
81.16,99.56494
81.15,99.56769
81.13,99.56793
81.12,99.57267
81.11,99.57292
81.1,99.57367
