diff,pctl
6.98,11.76078
6.8,11.76104
6.8,11.85843
6.8,11.89622
6.8,11.90206
6.8,11.90231
6.8,12.21251
6.8,12.21276
6.79,12.23863
6.79,12.23939
6.79,12.2612
6.79,12.26196
6.79,12.27008
6.78,12.28631
6.76,12.28657
6.61,12.28682
6.6,12.28707
6.6,12.2962
6.6,12.4423
6.6,12.52473
6.6,12.52752
6.6,12.80271
6.59,12.80373
6.59,12.80449
6.59,12.84811
6.59,12.84887
6.59,12.85268
6.59,12.86105
6.53,12.86181
6.4,12.86206
6.4,13.137
6.4,13.14081
6.4,13.14106
6.4,13.23009
6.4,13.37948
6.39,13.3914
6.39,13.39267
6.39,13.39368
6.39,13.42868
6.39,13.42894
6.39,13.43046
6.39,13.43071
6.2,13.43401
6.2,13.45506
6.2,13.45531
6.2,13.82055
6.2,13.8208
6.2,13.82106
6.2,13.82613
6.2,13.87584
6.19,13.99226
6.19,13.9986
6.19,14.00063
6.19,14.00114
6.19,14.03309
6.01,14.03335
6,14.0336
6,14.03766
6,14.04578
6,14.04755
6,14.04781
6,14.60656
6,14.60834
6,14.61671
5.99,14.62229
5.99,14.63928
5.99,14.64562
5.99,14.64613
5.99,14.672
5.98,14.67276
5.96,14.67301
5.9,14.67327
5.8,14.67352
5.8,14.78233
5.8,14.83103
5.8,14.83686
5.8,14.83712
5.8,15.248
5.8,15.24826
5.79,15.27337
5.79,15.27489
5.79,15.2967
5.79,15.29721
5.79,15.30989
5.78,15.32435
5.76,15.3246
5.71,15.32486
5.6,15.32511
5.6,15.33703
5.6,15.5232
5.6,15.61983
5.6,15.6249
5.6,15.96021
5.59,15.96148
5.59,15.96173
5.59,15.998
5.59,15.99902
5.59,16.00434
5.59,16.01626
5.58,16.01702
5.52,16.01753
5.4,16.01778
5.4,16.01855
5.4,16.3711
5.4,16.37566
5.4,16.37617
5.4,16.47813
5.4,16.66607
5.39,16.67723
5.39,16.67952
5.39,16.68028
5.39,16.68053
5.39,16.72365
5.39,16.72441
5.38,16.72745
5.35,16.72771
5.29,16.72796
5.22,16.72822
5.21,16.72847
5.2,16.72872
5.2,16.75713
5.2,16.75738
5.2,17.23422
5.2,17.23498
5.2,17.24106
5.2,17.30371
5.19,17.44778
5.19,17.45716
5.19,17.46147
5.19,17.46274
5.19,17.50256
5.14,17.50307
5,17.50332
5,17.50789
5,17.51575
5,17.51829
5,17.51854
5,18.21959
5,18.21984
5,18.22085
5,18.22922
4.99,18.23278
4.99,18.24875
4.99,18.25636
4.99,18.28223
4.98,18.28426
4.98,18.28452
4.96,18.28477
4.95,18.28502
4.82,18.28528
4.8,18.28553
4.8,18.42731
4.8,18.49579
4.8,18.50214
4.8,18.50264
4.8,19.01701
4.8,19.01752
4.79,19.05303
