rank,name,wpm,raw,accuracy,consistency,diff
412,staf,116.97,116.97,94.99,75.10,0.00
413,programmingpower,116.80,116.80,99.49,82.19,0.00
414,MonkeyType259,116.80,116.80,96.56,74.30,0.00
415,apathetic.d,116.80,122.20,95.96,78.65,5.40
416,Splazhy,116.79,116.79,97.68,77.29,0.00
417,wildcat7777,116.78,119.98,96.75,78.43,3.20
418,neut,116.78,122.38,95.35,76.96,5.60
419,chessfgm,116.77,131.36,91.99,80.70,14.59
420,rikiiii,116.60,116.60,99.49,83.80,0.00
421,Timofey0,116.60,116.60,98.98,79.23,0.00
422,MelikSayuti,116.60,117.80,98.65,78.44,1.20
423,OnoMichi,116.59,117.39,99.49,80.51,0.80
424,zgek,116.40,116.40,100.00,87.33,0.00
425,Kizotic,116.40,123.80,97.42,77.79,7.40
426,coelhomarcus,116.40,122.80,94.59,78.32,6.40
427,Log_In_Again,116.39,119.79,95.15,75.01,3.40
428,SameerPatel,116.20,125.00,95.89,74.19,8.80
429,rlg_,116.19,128.79,92.45,71.29,12.60
430,distarate,116.18,116.18,97.82,76.19,0.00
431,1upsy,116.13,116.53,96.39,74.57,0.40
432,TechGamer204,116.00,116.00,99.49,85.98,0.00
433,Dhrjinder,116.00,119.20,97.19,75.62,3.20
434,Pulps,116.00,123.20,94.88,77.33,7.20
435,vj0510,116.00,136.19,91.04,87.15,20.19
436,shazzxr,115.99,119.19,97.69,70.95,3.20
437,eshwar2,115.99,122.19,96.76,69.59,6.20
438,Mewixus,115.99,120.99,96.07,84.02,5.00
439,JTO,115.60,118.80,98.00,80.60,3.20
440,villumina,115.59,116.59,98.64,80.96,1.00
441,alexthegoat001,115.59,123.19,95.73,69.03,7.60
442,froboshow,115.57,121.97,96.39,84.96,6.40
443,benaw,115.40,119.20,96.40,73.50,3.80
444,agureevroman,115.39,118.99,98.49,86.56,3.60
445,pronamka,115.20,115.20,100.00,83.29,0.00
446,xRaffa,115.19,117.19,95.42,80.65,2.00
447,WhatWhyAmISoBad,115.00,126.60,95.75,81.88,11.60
448,fsqAll,115.00,116.60,94.66,72.01,1.60
449,jay10102,114.99,116.19,98.14,75.15,1.20
450,udaykrishna,114.99,121.39,95.34,79.62,6.40
451,Robochu,114.97,114.97,98.80,80.59,0.00
452,kayzeior,114.80,114.80,99.48,83.70,0.00
453,Sourav1235,114.80,121.60,96.75,78.97,6.80
454,Bacaala,114.80,116.40,94.76,74.05,1.60
455,mykyta41,114.80,127.00,90.76,79.18,12.20
456,tsblock,114.79,114.79,98.15,81.61,0.00
457,imf18,114.79,115.99,96.40,73.32,1.20
458,VarisMarcell,114.79,116.39,95.59,69.90,1.60
