name,wpm,raw,accuracy,consistency,diff
aalioz,69.79,69.79,95.36,73.96,0
zphudzz,73.39,85.39,92.86,73.97,12
Shrinkhala7007,59.99,61.59,98.39,73.99,1.6
Atul2427,62.39,62.39,96.6,73.99,0
samuruyu,81.4,81.4,95.81,74,0
HarshaBlaze,76.4,76.4,97.21,74.01,0
yusufahmed,83.2,84.6,97.91,74.02,1.4
Liquido,88.99,88.99,98.03,74.02,0
peachiest,72.8,75.8,98.42,74.07,3
4lul,126.2,126.2,97.26,74.08,0
Woob,75.4,77.8,97.71,74.09,2.4
ElizabethQuitoy,64.39,64.39,97.89,74.13,0
IgnisDark,96.6,96.6,98.39,74.16,0
nomiso,106.4,106.4,97.11,74.19,0
Shreyash18,76.79,86.39,92.6,74.2,9.6
ossner,87.38,87.38,96.51,74.21,0
MarjorieB107,60.6,60.6,99.03,74.23,0
9920,112.99,119.99,93.35,74.26,7
allofher,73,73,97.6,74.26,0
Sabs_19,71,72.4,98.37,74.31,1.4
longlb,86.2,86.2,94.96,74.33,0
carlamartinez,95,95,98.36,74.35,0
Abdul32,62.39,62.39,98.42,74.35,0
spookyalina,72.8,72.8,97.09,74.36,0
nordenmtantong,74.19,74.19,97.39,74.4,0
70wpmletgooo,67.78,67.78,99.13,74.43,0
cpptowin,82.19,92.39,92.78,74.44,10.2
practicetypesped,80.39,81.39,96.23,74.44,1
manCalledHero,110.99,110.99,98.06,74.44,0
Itsjustmebruh,104.57,111.97,92.41,74.47,7.4
rish1234,120.79,120.79,96.53,74.47,0
TurboTapzz,60.6,73.2,92.08,74.48,12.6
glennthzm,84.19,84.19,96.58,74.49,0
MunaAdil,75.4,75.4,97.44,74.49,0
Tarun495,68.79,68.79,97.46,74.5,0
Andoi,123.4,138.2,91.43,74.54,14.8
danisharshid,65.79,65.79,100,74.54,0
n.o.a.h,123.99,128.19,96.6,74.6,4.2
pauleneanne20,58.4,59,98.34,74.62,0.6
sinc44,90,90,95.97,74.63,0
ExDino,113,113,97.6,74.64,0
V._.cloud,78.4,78.4,99.75,74.69,0
lifetofree,73.2,73.2,98.66,74.7,0
mati2oooOG Account,111.59,120.18,94.48,74.73,8.59
someUsername,114.36,118.36,95.82,74.73,4
JumaidaSabirin,60.39,60.39,98.05,74.73,0
ZestyPepper,78.2,88.6,91.56,74.76,10.4
dave.ast,81.4,81.4,97.85,74.86,0
monkey_typ,72.98,72.98,98.66,74.88,0
Liquido,89.4,89.4,96.79,74.92,0
backtothelab,128.2,129.4,97.73,74.94,1.2
laineshaun,78.8,78.8,99,74.95,0
Black_2.o,71.79,71.79,96.29,74.99,0
KuroiX,77.2,94.59,86.61,75,17.39
Aliens,62.39,62.39,99.36,75,0
CaseyMaster,90,91.6,96.2,75.03,1.6
ayushmantyping,94.2,98.8,95.68,75.04,4.6
vrod789,68,71.2,95.59,75.04,3.2
llimah,76,76,93.9,75.06,0
SMEEZ,84,90.8,96.06,75.08,6.8
RAntunez08,74.98,81.18,92.89,75.11,6.2
CosmicNoise,91.6,106,89.95,75.14,14.4
NYA.Gremory,110.6,117.4,95.98,75.15,6.8
caldak,127.37,133.16,95.75,75.15,5.79
Goal60plus,80.2,81.2,97.36,75.18,1
cmar3468,71,71,96.75,75.19,0
dthtien,60.2,61.2,99.02,75.28,1
_lanuR,123.19,136.79,92.22,75.3,13.6
jasontt,74.6,74.6,96.88,75.31,0
ChineseHomeboi,108.19,112.39,96.49,75.35,4.2
Samvitos,164.4,168.6,97.1,75.36,4.2
GuyNoob,114,137.19,92.13,75.4,23.19
GodTypist99,94,97.4,96.61,75.41,3.4
lt_tubby,125,125,97.06,75.41,0
NeoCoder,83.2,96.4,93.57,75.42,13.2
iwanoo,113.59,114.59,95.05,75.42,1
izumi1009,89.4,89.4,96.96,75.48,0
nader337,79.4,79.4,94.1,75.51,0
dimkalininn,62.59,62.99,98.45,75.52,0.4
DarkAlexWang,79.18,79.18,97.07,75.53,0
Typinggod4,95.8,95.8,97.56,75.53,0
monkeyman008,79.19,79.79,98.02,75.56,0.6
